n,mp,type_pack_element,p1858,p2996,mp11,nth_pack_element
0,0.019262154897054035,0.01671918233235677,0.01555331548055013,0.7262812455495199,0.1472326914469401,0.10068257649739583
1,0.020743608474731445,0.016292254130045574,0.01654203732808431,0.7290229797363281,0.14684621493021646,0.09938589731852214
2,0.020335276921590168,0.016274531682332356,0.015881856282552082,0.7470939954121908,0.14788476626078287,0.10144162178039551
3,0.020737250645955402,0.016377766927083332,0.016273975372314453,0.7506182988484701,0.14807502428690592,0.10138050715128581
4,0.0210879643758138,0.01633032162984212,0.016616106033325195,0.7382339636484782,0.14748040835062662,0.1018081506093343
5,0.021013736724853516,0.01665472984313965,0.01619569460550944,0.7368447780609131,0.14926274617513022,0.10314528147379558
6,0.02125438054402669,0.01627492904663086,0.0164034366607666,0.7377481460571289,0.14951268831888834,0.10256846745808919
7,0.02214805285135905,0.016492764155069988,0.016251643498738606,0.7412851651509603,0.14951618512471518,0.10392824808756511
8,0.02200428644816081,0.01639103889465332,0.016660292943318684,0.7370502948760986,0.14776094754536948,0.10479942957560222
9,0.022919416427612305,0.01700592041015625,0.016553958257039387,0.7378048102060953,0.14815386136372885,0.10597268740336101
