n,circle,p1858,mp11,nth_pack_element
0,0.023742198944091797,0.023391008377075195,0.08800601959228516,0.04595494270324707
10,0.023902416229248047,0.023715496063232422,0.08901190757751465,0.04786801338195801
20,0.02462625503540039,0.024439334869384766,0.09129500389099121,0.05016016960144043
30,0.02496337890625,0.025390625,0.09302902221679688,0.053752899169921875
40,0.025801897048950195,0.026375770568847656,0.09594964981079102,0.058519840240478516
50,0.027611732482910156,0.027637958526611328,0.09746527671813965,0.06551361083984375
60,0.02952742576599121,0.029475927352905273,0.10119128227233887,0.0724945068359375
70,0.03148341178894043,0.03122735023498535,0.10538291931152344,0.08082008361816406
80,0.03356599807739258,0.0334010124206543,0.10919332504272461,0.09057927131652832
90,0.035701751708984375,0.03574776649475098,0.11341285705566406,0.10176324844360352
100,0.03820466995239258,0.03829026222229004,0.11879110336303711,0.11382865905761719
