n,circle,p1858,mp11,nth_pack_element
0,0.0003245353698730462,0.0003208160400390639,0,0.0002173900604248019
10,0.0001674175262451165,0.0002708911895751946,0.0007791519165039062,0.0017847537994384807
20,0.0006193161010742201,0.0010581016540527344,0.0029778957366943387,0.004045820236206053
30,0.0011533260345459005,0.0016966342926025384,0.004680204391479495,0.007517862319946292
40,0.002994728088378907,0.0028877735137939446,0.007728433609008795,0.012853908538818355
50,0.004102611541748045,0.004348134994506838,0.009985733032226565,0.01931195259094238
60,0.0031777858734130873,0.005677843093872068,0.013184833526611331,0.026357650756835944
70,0.007614707946777346,0.007353496551513673,0.017008113861083987,0.035226297378540036
80,0.00971975326538086,0.009961366653442383,0.02092952728271484,0.0451319694519043
90,0.01200542449951172,0.012552022933959964,0.025693082809448237,0.05626163482666016
100,0.015176439285278318,0.014742755889892576,0.03109331130981445,0.06940255165100097
