n,mp,type_pack_element,mp11,nth_pack_element
0,0.02314273516337077,0.020788828531901043,0.1459773381551107,0.058254400889078774
10,0.026492834091186523,0.021003882090250652,0.14402278264363608,0.06526581446329753
20,0.03047657012939453,0.021985371907552082,0.14736119906107584,0.07745138804117839
30,0.037033398946126304,0.024155696233113606,0.14908313751220703,0.09528819719950359
40,0.04487776756286621,0.02695639928181966,0.15377934773763022,0.11946837107340495
50,0.05432605743408203,0.03094633420308431,0.15982850392659506,0.1520547866821289
60,0.06581854820251465,0.03555909792582194,0.16745193799336752,0.18451968828837076
70,0.07775314648946126,0.041258653004964195,0.17421364784240723,0.22868220011393228
80,0.09180108706156413,0.047821998596191406,0.18310395876566568,0.27866442998250324
90,0.10617343584696452,0.05460874239603678,0.19022448857625326,0.3291650613149007
100,0.12561631202697754,0.06298295656840007,0.20054237047831217,0.3900644779205322
