n,mp,type_pack_element,mp11,nth_pack_element
0,0.00010697046915689873,0.0008278687795003244,0.00023778279622393983,0.0006269613901774135
10,0.0035990079243977853,0.0008192857106526681,0.001331249872843443,0.0066454410552978585
20,0.00727216402689616,0.002216418584187828,0.002252181371053069,0.019050280253092453
30,0.013058344523111977,0.0050432682037353516,0.00641179084777832,0.038111448287963874
40,0.02114343643188477,0.006922880808512371,0.010620752970377595,0.06107568740844726
50,0.029706954956054684,0.011105219523111977,0.014127969741821289,0.09130318959554037
60,0.041089455286661775,0.015240748723347984,0.02220336596171063,0.12768824895222983
70,0.05324101448059082,0.02090112368265788,0.028868595759073884,0.16605154673258463
80,0.06723380088806152,0.026709715525309242,0.036633809407552065,0.21228925387064615
90,0.08330790201822917,0.03479568163553874,0.04615028699239093,0.2637312412261963
100,0.10064840316772461,0.042032718658447266,0.0559239387512207,0.31985672314961755
