n,mp,type_pack_element,p1858,p2996,mp11,nth_pack_element
0,0.019255797068277996,0.01572593053181966,0.015788157780965168,0.14437341690063477,0.1469691594441732,0.09960254033406575
10,0.022761027018229168,0.016515652338663738,0.016744216283162434,0.14690160751342773,0.14913193384806314,0.10818211237589519
20,0.027031580607096355,0.018314282099405926,0.018140236536661785,0.15288869539896646,0.15104317665100098,0.12143762906392415
30,0.03426917394002279,0.020468870798746746,0.020159800847371418,0.16209077835083008,0.15408968925476074,0.1412471135457357
40,0.04173707962036133,0.023699045181274414,0.02321791648864746,0.17487597465515137,0.15825931231180826,0.16667819023132324
50,0.05186303456624349,0.02808268864949544,0.027497132619222004,0.19205109278361002,0.16450786590576172,0.19806400934855142
60,0.06316590309143066,0.0326234499613444,0.03232105573018392,0.21235553423563638,0.17162171999613443,0.23570919036865234
70,0.07646338144938152,0.0386960506439209,0.03810342152913412,0.23798473676045737,0.17916091283162436,0.2781373659769694
80,0.09266773859659831,0.044745445251464844,0.04432908693949381,0.2651667594909668,0.18754402796427408,0.32701977094014484
90,0.10850365956624348,0.05303064982096354,0.05124123891194662,0.2960769335428874,0.1987314224243164,0.38259299596150714
100,0.12691410382588705,0.06096212069193522,0.05932299296061198,0.33334628740946454,0.20879697799682617,0.442218542098999
