n,mp,type_pack_element,p1858,p2996,mp11,nth_pack_element
0,0.0004121462504069022,0,0.00022149085998534983,0.0003871917724609375,0.0002724329630534039,0.00018739700317382812
10,0.0033996899922688825,0.0015401045481363944,0.0020066897074381505,0.0029058456420898438,0.0017566680908203125,0.008724212646484375
20,0.007582585016886394,0.0027591387430826834,0.0027764638264973964,0.008909861246744782,0.004122257232666016,0.021862506866455078
30,0.015291770299275718,0.0050483544667561855,0.0047036806742350255,0.017841100692749023,0.0066127777099609375,0.04205608367919923
40,0.022355318069458008,0.007510662078857422,0.007953961690266928,0.030451059341430664,0.011156400044759096,0.06763943036397298
50,0.03247181574503581,0.012589613596598307,0.012240012486775715,0.047365506490071596,0.017946481704711914,0.09854896863301595
60,0.04400467872619629,0.016780138015747067,0.01636473337809245,0.06837876637776691,0.024826685587565095,0.13638091087341309
70,0.05731987953186035,0.023266235987345375,0.022610346476236984,0.09319814046223959,0.03218841552734375,0.17869504292805993
80,0.07354442278544109,0.02874271074930827,0.02854371070861816,0.1205289363861084,0.04094258944193521,0.2279493808746338
90,0.08935427665710449,0.03761204083760579,0.03553962707519531,0.15208848317464194,0.05172014236450195,0.28321059544881183
100,0.10795744260152182,0.04520535469055176,0.04340108235677083,0.1891740957895915,0.06189537048339844,0.34287770589192706
