n,mp,p2996,mp11
0,0,0.05847411155700688,0.00010552406311034601
10,0.014721345901489255,0.12892808914184573,0.0045804500579834095
20,0.03525071144104004,0.1431953430175782,0.010381984710693376
30,0.06253042221069335,0.16442480087280265,0.019897413253784163
40,0.09714350700378417,0.18570256233215332,0.03324923515319825
50,0.13902101516723633,0.22040162086486814,0.04896578788757322
60,0.18667354583740234,0.2481881618499755,0.0649489402770996
70,0.2456089019775391,0.2876863002777099,0.08451471328735352
80,0.3083459377288818,0.33106279373168945,0.10593214035034179
90,0.3804381847381592,0.37961950302124026,0.13152337074279785
100,0.4562992095947266,0.4267308712005615,0.15905518531799318
