n,mp,p2996,mp11
0,0.0004680156707763672,0.004496908187866189,0.00029335021972656805
10,0.004614639282226562,0.015470027923583984,0.0037874221801757757
20,0.008767366409301758,0.0383548259735107,0.006482028961181635
30,0.014448547363281251,0.0619894981384278,0.011128616333007824
40,0.02111525535583496,0.10058813095092778,0.016261529922485363
50,0.029576873779296877,0.14169173240661614,0.020773077011108393
60,0.0389134407043457,0.18224849700927737,0.028141355514526373
70,0.051111459732055664,0.2754828929901122,0.03565378189086915
80,0.06452698707580566,0.3278938293457031,0.04292283058166502
90,0.0774080753326416,0.3957193851470946,0.051686954498291
100,0.09339661598205566,0.46468343734741213,0.0647275447845459
