n,mp,p2996,mp11
0,0.019209941228230793,0.8631610870361328,0.14693498611450195
10,0.0233304500579834,0.923534075419108,0.14824088414510092
20,0.027396202087402344,0.943240245183309,0.149702787399292
30,0.03342874844868978,0.9646101792653402,0.15154671669006348
40,0.040131171544392906,0.9964234034220377,0.15711069107055664
50,0.04905454317728678,1.0337247053782146,0.15987896919250488
60,0.059668382008870445,1.076050837834676,0.16611520449320474
70,0.07149267196655273,1.1476212342580159,0.17157681783040366
80,0.08460656801859538,1.1940378348032634,0.1783909797668457
90,0.0991514523824056,1.2545969486236572,0.18569533030192056
100,0.11575667063395183,1.3347900708516438,0.19269688924153647
