n,mp,p2996,mp11
0,0.0006284236907958991,0.018047523498535223,0
10,0.004211282730102538,0.07612833976745603,0.001748418807983404
20,0.008276700973510742,0.0889987468719482,0.0027260303497314564
30,0.014436864852905271,0.11297035217285156,0.004277086257934548
40,0.02164769172668457,0.1475067138671875,0.007724761962890625
50,0.03008146286010742,0.18603014945983876,0.012001466751098644
60,0.0399716854095459,0.22954239845275892,0.01859879493713379
70,0.052244138717651364,0.2819915771484375,0.023845052719116216
80,0.06520700454711914,0.34101490974426263,0.030050849914550787
90,0.08053784370422364,0.4056813716888428,0.03771872520446776
100,0.09650459289550781,0.48155636787414546,0.04723548889160156
