n,mp,p2996,mp11
0,0.019596576690673828,0.9046514987945556,0.1475738525390625
10,0.03129787445068359,0.985006856918335,0.14866189956665038
20,0.04874091148376465,1.0006969451904297,0.15378293991088868
30,0.07361226081848145,1.0218677520751953,0.1622685432434082
40,0.10571002960205078,1.0441802978515624,0.17569684982299805
50,0.14422159194946288,1.0762934684753418,0.19510045051574706
60,0.19058146476745605,1.1059476375579833,0.21705479621887208
70,0.24340472221374512,1.1484134674072266,0.2481297492980957
80,0.30397443771362304,1.185827875137329,0.28147225379943847
90,0.3781991958618164,1.2317821979522705,0.324190092086792
100,0.4490638732910156,1.28803448677063,0.37168455123901367
