n,mp,p2996,mp11
0,7.851918538411343e-05,0.05871891975402832,0.0018198490142822266
10,0.011736710866292317,0.1378885110219319,0.00431831677754721
20,0.02974915504455566,0.15467214584350586,0.0030944347381591797
30,0.05498472849527995,0.1730543772379557,0.017199993133544922
40,0.08620882034301758,0.19563404719034838,0.02671980857849121
50,0.12543884913126627,0.22386908531188965,0.04864048957824707
60,0.17055837313334146,0.258894920349121,0.07006120681762695
70,0.22389888763427734,0.2984722455342611,0.10045274098714194
80,0.28458038965861004,0.33780320485432946,0.13465142250061038
90,0.35663978258768714,0.3833373387654623,0.1755367120107015
100,0.4305293560028076,0.45167764027913404,0.22162326176961264
