n,mp,p2996,mp11
0,0.019843387603759765,0.8535236358642578,0.14707789421081544
10,0.030535316467285155,0.9014780521392822,0.152939510345459
20,0.06134214401245117,1.0188578128814698,0.15934572219848633
30,0.12915101051330566,1.2227198600769043,0.17205586433410644
40,0.2566183090209961,1.568192481994629,0.18729829788208008
50,0.44812464714050293,2.0324190616607667,0.20643420219421388
60,0.7314978122711182,2.6806203842163088,0.2309870719909668
70,1.1199951171875,3.606784534454346,0.2589503288269043
80,1.6252900123596192,4.686125707626343,0.2909544467926025
90,2.2925158500671388,5.96866512298584,0.32909274101257324
100,3.094159173965454,7.535462093353272,0.36785225868225097
