n,mp,p2996,mp11
0,0.0008342266082763672,0.0062173843383789285,1.3923645019536801e-05
10,0.011469411849975585,0.05617270469665525,0.005941343307495128
20,0.042019462585449224,0.17068524360656745,0.011851835250854509
30,0.1098024845123291,0.3775943756103515,0.02487440109252928
40,0.2372756004333496,0.7238352298736572,0.0401374340057373
50,0.42893390655517577,1.1864211559295654,0.05942239761352541
60,0.7122993469238281,1.833317041397095,0.08408031463623047
70,1.1006930351257325,2.7600589752197267,0.11124958992004391
80,1.6059781074523927,3.8422598361968996,0.14363827705383297
90,2.2732487678527833,5.123383808135986,0.18223218917846679
100,3.074826955795288,6.691312313079834,0.22037572860717772
