n,mp,p2996,mp11
0,0.020583311716715496,0.9021592140197754,0.1473996639251709
1,0.021004597345987957,0.9649324417114258,0.14729531606038412
2,0.02217547098795573,0.9663468996683756,0.14742008845011392
3,0.023718992869059246,0.9685966968536377,0.14821966489156088
4,0.025307496388753254,0.9689797560373942,0.14828387896219888
5,0.025824228922526043,0.968508243560791,0.14964143435160318
6,0.02738165855407715,0.9697004159291586,0.14977240562438965
7,0.02913657824198405,0.9708918730417887,0.15048623085021973
8,0.03089769681294759,0.9736081759134928,0.15069707234700522
9,0.03217029571533203,0.9716036319732666,0.15171297391255698
