n,mp,p2996,mp11
0,0.019219160079956055,0.8477429548899332,0.1469541390736898
1,0.021119991938273113,0.8509657382965088,0.14752626419067383
2,0.02140069007873535,0.8509429295857748,0.1477351188659668
3,0.021908362706502277,0.8562725385030111,0.14868791898091635
4,0.022226333618164062,0.8519307772318522,0.14835699399312338
5,0.02265588442484538,0.853478193283081,0.14876548449198404
6,0.022678534189860027,0.8581631978352865,0.14901995658874512
7,0.022975683212280273,0.8546646436055502,0.14896138509114584
8,0.02330303192138672,0.8571945031483968,0.14957523345947266
9,0.023196061452229817,0.859084685643514,0.14929119745890299
