n,mp,mp11,nth_pack_element
0,0.015611489613850912,0.11822946866353352,0.04373908042907715
10,0.01785437266031901,0.12075718243916829,0.04894725481669108
20,0.01915144920349121,0.12353936831156413,0.057408809661865234
30,0.021780967712402344,0.1266775925954183,0.06892236073811848
40,0.025197188059488933,0.13077767690022787,0.08351953824361165
50,0.02959473927815755,0.13583827018737793,0.10100150108337402
60,0.03458627065022787,0.14234773317972818,0.1214450200398763
70,0.03988401095072428,0.14891839027404785,0.1456154982248942
80,0.046795288721720375,0.1565113067626953,0.17169086138407388
90,0.05370648701985677,0.165971040725708,0.20192527770996094
100,0.061333815256754555,0.1747457186381022,0.23485716183980307
