n,mp,mp11
0,0.00024285316467284948,0.00020904541015624722
10,0.002688884735107422,0.0022945404052734375
20,0.004469490051269533,0.004845571517944347
30,0.006558656692504883,0.007008695602416987
40,0.009007740020751956,0.009116649627685547
50,0.011411905288696289,0.011567735671997065
60,0.014500284194946287,0.014956712722778306
70,0.017889404296875,0.019161844253540047
80,0.022414875030517575,0.023997879028320318
90,0.025950765609741213,0.02827949523925781
100,0.029890775680541992,0.033406734466552734
