n,mp,p2996,mp11
0,0.018795490264892578,0.8622771898905436,0.14673892656962076
1,0.0197598934173584,0.9090311527252197,0.14684104919433594
2,0.020338694254557293,0.9104719956715902,0.14698179562886557
3,0.020419200261433918,0.908238410949707,0.14708503087361655
4,0.02029863993326823,0.9262130260467529,0.1468197504679362
5,0.020476738611857098,0.9330766201019287,0.14716545740763345
6,0.02097209294637044,0.913294792175293,0.14752348264058432
7,0.021213293075561523,0.9152475198109945,0.14712230364481607
8,0.02138376235961914,0.9252780278523763,0.14829397201538086
9,0.022025028864542644,0.917149543762207,0.14790606498718262
