n,mp,p2996,mp11
0,0.018323659896850586,0.9132941563924154,0.14942089716593424
1,0.01987942059834798,1.0038696924845378,0.14902551968892416
2,0.021361351013183594,0.9936947027842203,0.1513524055480957
3,0.020999908447265625,0.9917236963907877,0.14976008733113608
4,0.022484302520751953,0.9867367744445801,0.14974459012349448
5,0.02322697639465332,0.9811521371205648,0.14971423149108887
6,0.024145762125651043,0.9876507123311361,0.1505731741587321
7,0.02588351567586263,0.9943492412567139,0.15060019493103027
8,0.02762428919474284,1.0034715334574382,0.14882922172546387
9,0.02837085723876953,1.0056347052256267,0.14926362037658691
