n,mp,p2996,mp11
0,0.021166006724039715,0.8854947884877523,0.1468814214070638
1,0.0231626033782959,0.8784814675649008,0.14895900090535483
2,0.023897250493367512,0.8862826029459635,0.1502676804860433
3,0.024000883102416992,0.8914405504862467,0.14881602923075357
4,0.02395971616109212,0.8918247222900391,0.1480685075124105
5,0.024493853251139324,0.8813579877217611,0.14863506952921549
6,0.025771299997965496,0.8721588452657064,0.150587797164917
7,0.02759997049967448,0.8768971761067709,0.15040826797485352
8,0.02936553955078125,0.8821562925974528,0.1501444180806478
9,0.03066086769104004,0.8957782586415609,0.15057452519734701
